Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1985","1985","kg/ha","3.83","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1986","1986","kg/ha","3.93","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1987","1987","kg/ha","3.82","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1988","1988","kg/ha","4.33","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1989","1989","kg/ha","4.8","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1990","1990","kg/ha","5.52","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1991","1991","kg/ha","5.42","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1992","1992","kg/ha","3.91","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1993","1993","kg/ha","3.86","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1994","1994","kg/ha","4.73","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1995","1995","kg/ha","5.07","Fc","Calculated data"
